EngDispl|NumCyl|FE|NumGears|TransLockup|TransCreeperGear|IntakeValvePerCyl|ExhaustValvesPerCyl|VarValveTiming|VarValveLift
3.6|6|37.6908|7|0|0|2|2|1|1
3.8|6|35.3594|6|0|0|2|2|1|1
3.8|6|36.9347|7|0|0|2|2|1|1
3.8|6|36.9347|7|0|0|2|2|1|1
3.8|6|35.3594|6|0|0|2|2|1|1
3.8|6|33.8482|7|1|0|2|2|1|1
3.8|6|33.1649|6|0|0|2|2|1|1
3.8|6|34.255|7|1|0|2|2|1|1
3.8|6|33.2357|6|0|0|2|2|1|1
3.8|6|33.8482|7|1|0|2|2|1|1
3.8|6|34.255|7|1|0|2|2|1|1
2.5|5|39.7267|6|0|0|2|2|1|0
5.9|12|26.6208|6|1|0|2|2|0|0
2|4|42.7743|1|0|0|2|2|1|1
2|4|37|6|1|0|2|2|1|1
2|4|37.7989|6|1|0|2|2|1|1
2|4|42.575|6|1|0|2|2|1|1
3.2|6|36.2|6|0|0|2|2|1|1
4.2|8|31|6|1|0|2|2|1|0
4.2|8|29.3|6|0|0|2|2|1|0
3|6|34|7|0|0|2|2|1|0
2|4|39.7256|6|0|0|2|2|1|0
6|12|23.2715|6|1|0|2|2|1|0
3|6|38.1696|6|1|0|2|2|1|1
3|6|38.7896|6|0|0|2|2|1|1
3|6|39.7103|6|1|0|2|2|1|1
3|6|38.7896|6|0|0|2|2|1|1
3|6|35.5|6|1|0|2|2|1|0
3|6|35.2678|6|0|0|2|2|1|0
3|6|36.1548|6|1|0|2|2|1|0
3|6|35.7081|6|0|0|2|2|1|0
3|6|39.7103|6|1|0|2|2|1|1
3|6|38.7896|6|0|0|2|2|1|1
3|6|38.1696|6|1|0|2|2|1|1
3|6|36.798|6|1|0|2|2|1|1
3|6|35.5404|6|1|0|2|2|1|1
3|6|35.4606|6|0|0|2|2|1|1
3|6|36.1548|6|1|0|2|2|1|0
3|6|35.7081|6|0|0|2|2|1|0
3|6|36.1548|6|1|0|2|2|1|0
3|6|35.7081|6|0|0|2|2|1|0
3|6|34.7288|6|1|0|2|2|1|0
3|6|34.2853|6|1|0|2|2|1|0
4.8|8|30.5375|6|1|0|2|2|1|1
4.8|8|31.3747|6|1|0|2|2|1|1
4.8|8|28.8|6|1|0|2|2|1|1
4.8|8|31.8|6|1|0|2|2|1|1
4|8|27.3704|7|1|0|2|2|1|0
4|8|27.3|6|0|0|2|2|1|0
4|8|28.4|6|0|0|2|2|1|0
4|8|27.9711|7|1|0|2|2|1|0
5|10|23.227|6|1|0|2|2|1|0
5|10|23.6182|7|1|0|2|2|1|0
5|10|23.7|6|1|0|2|2|1|0
5|10|24.0505|7|1|0|2|2|1|0
1.6|4|47.9|4|1|0|2|2|1|0
1.6|4|48.9|5|0|0|2|2|1|0
2.2|4|51.9|5|0|0|2|2|1|0
2.2|4|46.8|4|1|0|2|2|1|0
2|4|41.9|5|0|0|2|2|1|0
2.2|4|51.9|5|0|0|2|2|1|0
4|6|32.7568|5|1|1|1|1|0|0
4|6|36.3926|5|0|0|1|1|0|0
4.6|8|32.1109|5|1|1|2|1|1|0
4.6|8|33.8|5|0|1|2|1|1|0
5.4|8|30.4|6|0|0|2|2|0|0
1.8|4|50.5|5|1|0|2|2|1|1
1.8|4|48.6|5|0|0|2|2|1|1
1.8|4|51.1915|5|1|0|2|2|1|1
2|4|40.5|6|0|0|2|2|1|1
2|4|41.7998|5|1|0|2|2|1|0
2|4|42|6|0|0|2|2|1|0
3.8|6|38.0484|6|1|0|2|2|1|0
3.8|6|36.4|6|0|0|2|2|1|0
3.7|6|32.9748|6|0|0|2|2|1|1
3.7|6|35.2288|7|1|0|2|2|1|1
3.7|6|34.7305|6|0|0|2|2|1|1
3.7|6|37.065|7|1|0|2|2|1|1
3.7|6|35.162|7|1|0|2|2|1|1
2.5|6|36.2901|6|1|0|2|2|1|0
2.5|6|36.7047|6|0|0|2|2|1|0
2.5|6|40.8247|6|1|0|2|2|1|0
3.5|6|36.5564|6|1|0|2|2|1|0
5|8|32.0888|8|1|0|2|2|1|0
4.2|8|26.8817|6|0|0|2|2|1|0
4.7|8|26.7022|6|0|0|2|2|1|0
4.7|8|26.5604|6|0|0|2|2|1|0
1.3|2|30.2|6|0|0|0|0|0|0
1.3|2|32.1|6|1|0|0|0|0|0
3.5|6|36.0876|7|1|0|2|2|1|0
5.5|8|31.7|7|1|0|2|2|1|0
1.6|4|51.6555|6|0|0|2|2|1|1
1.6|4|47.2025|6|1|0|2|2|1|1
1.6|4|44.5714|6|1|0|2|2|1|0
1.6|4|47.7592|6|0|0|2|2|1|0
1.6|4|46.5047|6|0|0|2|2|1|1
2.4|4|38.5995|5|0|0|2|2|0|1
2.4|4|37.4902|4|1|0|2|2|0|1
3.8|6|34.6|6|0|0|2|2|0|1
3.8|6|33.2|5|1|0|2|2|0|1
2.5|4|44.7365|1|1|0|2|2|1|0
2.5|4|43.8|6|0|0|2|2|1|0
3.5|6|37.9628|6|0|0|2|2|1|0
3.5|6|38.0169|1|1|0|2|2|1|0
3.8|6|29.0307|6|1|0|2|2|1|0
2.2|4|51.9|5|0|0|2|2|1|0
2.2|4|46.8|4|1|0|2|2|1|0
2.2|4|46.8|4|1|0|2|2|1|0
2.2|4|51.9|5|0|0|2|2|1|0
2.2|4|51.9|5|0|0|2|2|1|0
4.6|8|29.14|5|1|0|2|1|1|0
4.6|8|31.61|5|0|0|2|1|1|0
2|4|41.2|6|0|0|2|2|0|0
2|4|37.5|5|1|0|2|2|0|0
1.6|4|48.9|5|0|0|2|2|1|0
1.6|4|42.1|4|1|0|2|2|1|0
2.4|4|40.2|4|1|0|2|2|1|0
2.4|4|38.2|5|0|0|2|2|1|0
1.8|4|47.2|4|1|0|2|2|1|0
1.8|4|46.9|5|0|0|2|2|1|0
1.5|4|48.8622|4|1|0|2|2|1|0
1.5|4|50.6725|5|0|0|2|2|1|0
2|4|41.521|6|0|0|2|2|1|0
2|4|41.3156|6|0|0|2|2|1|0
2.5|5|40.8|6|0|0|2|2|1|0
2.5|5|39.3753|5|0|0|2|2|1|0
2.5|5|38.4|5|1|0|2|2|1|0
2.5|5|38.6|6|0|0|2|2|1|0
2.4|4|39.3|6|0|0|2|2|1|0
2.4|4|42.3|5|1|0|2|2|1|0
3.5|6|37.6|5|1|0|2|2|1|1
2|4|42.7743|1|0|0|2|2|1|1
2|4|37.7989|6|1|0|2|2|1|1
2|4|42.575|6|1|0|2|2|1|1
3|6|34.1|6|0|0|2|2|1|0
3|6|35|7|0|0|2|2|1|0
6.8|8|21.006|6|0|0|1|1|0|0
6.8|8|21.006|6|0|0|1|1|0|0
6|12|23.8|6|1|0|2|2|1|0
3|6|39.7103|6|1|0|2|2|1|1
3|6|38.7896|6|0|0|2|2|1|1
3|6|35.5404|6|1|0|2|2|1|1
3|6|35.4606|6|0|0|2|2|1|1
3|6|51.1|6|1|0|2|2|0|0
3|6|36.1548|6|1|0|2|2|1|0
3|6|35.7081|6|0|0|2|2|1|0
3|6|34.7288|6|1|0|2|2|1|0
3|6|34.2853|6|1|0|2|2|1|0
4|8|28.4|6|0|0|2|2|1|0
4|8|27.9711|7|1|0|2|2|1|0
1.6|4|47.9|4|1|0|2|2|1|0
1.6|4|48.9|5|0|0|2|2|1|0
3.6|6|40.4|6|0|0|2|2|1|0
3.6|6|40|6|1|0|2|2|1|0
6.2|8|33.8|6|0|0|1|1|0|0
6.2|8|35.2|6|1|0|1|1|1|0
2.2|4|51.9|5|0|0|2|2|1|0
2.2|4|46.8|4|1|0|2|2|1|0
2.2|4|51.9|5|0|0|2|2|1|0
2.4|4|40.1|4|1|0|2|2|1|0
2.7|6|36.5|4|1|0|2|2|0|0
3.5|6|37.6|6|1|0|2|2|0|0
3.5|6|34.7|5|1|0|2|2|0|0
5.7|8|34.5|5|1|0|1|1|1|0
5.7|8|33.6|6|0|0|1|1|1|0
6.1|8|30.1|6|0|0|1|1|0|0
6.1|8|26|5|1|0|1|1|0|0
2|4|47.3278|4|1|0|2|2|0|0
2|4|49.3|5|0|0|2|2|0|0
2.4|4|43.5|5|0|0|2|2|1|1
2.4|4|43.3|5|1|0|2|2|1|1
3.5|6|35.5|6|0|0|2|2|1|1
3.5|6|39.9|5|1|0|2|2|1|1
1.3|4|65|1|1|0|1|1|1|1
1.3|4|62.2674|1|1|0|1|1|1|1
1.3|4|61.2|1|1|0|1|1|1|1
1.6|4|50.4|4|1|0|2|2|1|0
1.6|4|48.2|5|0|0|2|2|1|0
1.6|4|50.8205|5|0|0|2|2|1|0
2|4|47.2964|4|1|0|2|2|1|0
2|4|50.9|5|1|0|2|2|1|0
2|4|47.4|5|0|0|2|2|1|0
2.4|4|44.344|5|1|0|2|2|1|0
2.4|4|44.6|6|0|0|2|2|1|0
1.6|4|50.2669|4|1|0|2|2|1|0
1.6|4|48.3188|5|0|0|2|2|1|0
3.5|6|35.3494|1|0|0|2|2|1|0
2.4|4|47.4081|1|0|0|2|2|1|0
2|4|46.624|5|1|0|2|2|1|0
2|4|46.4387|5|0|0|2|2|1|0
2.5|4|40.1876|6|0|0|2|2|1|0
2.5|4|40.8873|5|1|0|2|2|1|0
3|6|35.8|6|0|0|2|2|1|0
3|6|35.7311|7|1|0|2|2|1|0
3.5|6|35.9|7|1|0|2|2|1|0
3|6|34.9|7|1|0|2|2|1|0
3.5|6|33.9|7|1|0|2|2|1|0
3.5|6|34.6|7|1|0|2|2|1|0
6.3|8|26.6722|7|1|0|2|2|1|0
5.5|8|29.2|7|1|0|2|2|1|0
5.5|12|23.9|5|1|0|2|1|1|0
6.3|8|24.7|7|1|0|2|2|1|0
6|12|23.4|5|1|0|2|1|1|0
5.5|8|29|7|1|0|2|2|1|0
6.3|8|24.8202|7|1|0|2|2|1|0
2|4|42.9363|5|0|0|2|2|1|0
2|4|42.4579|1|0|0|2|2|1|0
2|4|34.9|6|1|0|2|2|1|0
2.4|4|38.8769|5|0|0|2|2|1|0
2.4|4|40.3706|1|0|0|2|2|1|0
2|4|30.6|5|0|0|2|2|1|0
2|4|31.1|6|1|0|2|2|1|0
1.6|4|47.9|4|1|0|2|2|1|0
1.6|4|48.9|5|0|0|2|2|1|0
2.4|4|42.8|4|1|0|2|2|1|0
2.4|4|46.9|6|1|0|2|2|1|0
2.4|4|42.6|4|1|0|2|2|1|0
2.4|4|46.8|6|1|0|2|2|1|0
3.5|6|40.3|4|1|0|1|1|1|0
3.5|6|41.2|4|1|0|1|1|1|0
3.6|6|35.6|6|1|0|2|2|1|0
3.6|6|31|4|1|0|2|2|1|0
6.7|12|24.2|6|1|0|2|2|1|0
6.7|12|24.2|6|1|0|2|2|1|0
2|4|37.1|5|1|0|2|2|0|0
2|4|41.1132|6|0|0|2|2|0|0
2|4|38.4627|6|1|0|2|2|0|0
2|4|43.1|6|0|0|2|2|0|0
2|4|38.4997|5|1|0|2|2|0|0
2.5|4|37.071|5|0|0|2|2|0|1
2.5|4|35.9226|4|1|0|2|2|0|1
2.5|4|34.1435|5|0|0|2|2|1|0
2.5|4|32.9103|4|1|0|2|2|1|0
2.4|4|42.3947|1|0|0|2|2|1|0
2.4|4|41.3959|6|0|0|2|2|1|0
2.4|4|40.8321|1|0|0|2|2|1|0
2.4|4|44.0818|1|0|0|2|2|1|0
2.4|4|43.0035|6|0|0|2|2|1|0
2.4|4|41.5858|1|0|0|2|2|1|0
2|4|46.3629|6|0|0|2|2|1|0
2|4|45.1901|1|1|0|2|2|1|0
2|4|44.708|6|0|0|2|2|1|0
2|4|41.5661|1|1|0|2|2|1|0
1.8|4|48.4|4|1|0|2|2|1|0
1.8|4|50|5|0|0|2|2|1|0
2.4|4|42.2|5|0|0|2|2|1|0
2.4|4|42.6|5|1|0|2|2|1|0
2|4|42|6|0|0|2|2|1|0
2|4|41.521|6|0|0|2|2|1|0
3.6|6|35.1|6|0|0|2|2|1|0
3.6|6|33.5|6|0|0|2|2|1|0
2|4|60.1|6|0|0|2|2|0|0
2|4|58.535|6|0|0|2|2|0|0
2.5|5|39.6147|5|0|0|2|2|1|0
2.5|5|40.2409|6|0|0|2|2|1|0
2|4|43.5414|6|0|0|2|2|1|0
2|4|41.521|6|0|0|2|2|1|0
2|4|43.5414|6|0|0|2|2|1|0
2|4|41.521|6|0|0|2|2|1|0
2|4|60.1|6|0|0|2|2|0|0
2|4|58.535|6|0|0|2|2|0|0
2.5|5|39.5714|5|0|0|2|2|1|0
2.5|5|40.0169|6|0|0|2|2|1|0
2.4|5|39.348|5|1|0|2|2|1|0
2.4|5|39.3|5|0|0|2|2|1|0
2.5|5|40.6|5|1|0|2|2|1|0
2.5|5|40.4|6|0|0|2|2|1|0
2.5|5|37.8|5|1|0|2|2|1|0
2.5|5|37.8|6|0|0|2|2|1|0
2.4|5|39.348|5|1|0|2|2|1|0
2.4|5|39.3|5|0|0|2|2|1|0
2.5|5|40.6|5|1|0|2|2|1|0
2.5|5|40.4|6|0|0|2|2|1|0
3.7|6|30.9|5|1|0|2|2|1|1
3.5|6|36.8|5|1|0|2|2|1|1
3.7|6|34.3|5|1|0|2|2|1|1
3.7|6|34.4|6|0|0|2|2|1|1
3.2|6|38.9|1|0|0|2|2|1|1
3|6|34.7286|6|1|0|2|2|1|0
4.2|8|31.5002|6|1|0|2|2|1|0
4.2|8|31.5002|6|1|0|2|2|1|0
5.2|10|26.7|6|0|0|2|2|1|0
6|12|23.2715|6|1|0|2|2|1|0
3|6|38.1696|6|1|0|2|2|1|1
3|6|38.7896|6|0|0|2|2|1|1
3|6|34.7818|6|1|0|2|2|1|1
3|6|35.4606|6|0|0|2|2|1|1
3|6|35.8831|6|1|0|2|2|1|0
3|6|35.7081|6|0|0|2|2|1|0
3|6|34.7288|6|1|0|2|2|1|0
3|6|34.2853|6|1|0|2|2|1|0
4.8|8|30.5375|6|1|0|2|2|1|1
4.8|8|31.3747|6|1|0|2|2|1|1
5|10|23.227|6|1|0|2|2|1|0
5|10|23.6182|7|1|0|2|2|1|0
2.4|4|41.696|6|1|0|2|2|1|0
3|6|36.1|6|1|0|2|2|1|0
3.6|6|38.1|6|1|0|2|2|1|0
3|6|34.4|6|1|0|2|2|1|0
3|6|38.3|6|1|0|2|2|1|0
3|6|36|6|0|0|2|2|1|0
3.6|6|34.9|6|0|0|2|2|1|0
3.6|6|40|6|1|0|2|2|1|0
6.2|8|24.9754|6|1|0|1|1|0|0
6.2|8|26.2999|6|0|0|1|1|0|0
3|6|36.1|6|1|0|2|2|1|0
3.6|6|37.2|6|1|0|2|2|1|0
3.6|6|40|6|1|0|2|2|1|0
4.6|8|34.1|6|1|0|2|2|0|0
3.6|6|37.2|6|1|0|2|2|1|0
4.6|8|30.2999|6|1|0|2|2|0|0
2.4|4|42.8|4|1|0|2|2|1|0
2.4|4|46.9|6|1|0|2|2|1|0
2.4|4|42.6|4|1|0|2|2|1|0
2.4|4|46.8|6|1|0|2|2|1|0
3.5|6|40.3|4|1|0|1|1|1|0
3.5|6|41.2|4|1|0|1|1|1|0
3.6|6|35.6|6|1|0|2|2|1|0
2.4|4|48.1|4|1|0|2|2|1|0
2.4|4|41.6998|4|1|0|2|2|1|0
2.7|6|38.3|4|1|0|2|2|0|0
3.5|6|37.6|6|1|0|2|2|0|0
2.4|4|41.6998|4|1|0|2|2|1|0
2.7|6|38.3|4|1|0|2|2|0|0
3.5|6|37.6|6|1|0|2|2|0|0
5.7|12|21.7|6|0|0|2|2|1|0
5.7|12|21.3|6|0|0|2|2|1|0
3.5|6|33.5|6|1|1|2|2|1|0
3|6|35.4655|6|1|1|2|2|1|0
2.5|4|42.908|6|1|0|2|2|1|0
2.5|4|40.2|6|0|0|2|2|1|0
3|6|37.9|6|1|1|2|2|1|0
3.5|6|37.4|6|1|1|2|2|1|0
2.5|4|51.6|1|0|0|2|2|1|0
2.5|4|44.2|6|0|1|2|2|1|0
2.5|4|47.6493|6|1|0|2|2|1|0
2|4|47.7|4|1|0|2|2|1|0
2|4|48.2|5|0|0|2|2|1|0
2|4|49.217|5|0|0|2|2|1|0
3.7|6|34.7305|6|0|0|2|2|1|1
3.7|6|37.065|7|1|0|2|2|1|1
3.7|6|35.162|7|1|0|2|2|1|1
4.2|8|34.4855|6|1|0|2|2|1|0
5|8|29.7559|6|1|0|2|2|1|0
5|8|32.6701|6|1|0|2|2|1|1
2.4|4|44.6|5|1|0|2|2|1|0
2.4|4|44.6|5|0|0|2|2|1|0
2.7|6|39.8|5|1|0|2|2|1|0
3.5|6|38.3|6|1|0|2|2|1|0
3.5|6|36.5564|6|1|0|2|2|1|0
3.5|6|34.7494|6|1|0|2|2|1|0
4.6|8|34.0499|8|1|0|2|2|1|0
4.6|8|33.5509|8|1|0|2|2|1|0
4.6|8|32.1499|8|1|0|2|2|1|0
4.6|8|33.5509|8|1|0|2|2|1|0
4.6|8|32.1499|8|1|0|2|2|1|0
5|8|30.3|1|0|0|2|2|1|0
3|6|35.4655|6|1|1|2|2|1|0
2.5|4|42.908|6|1|0|2|2|1|0
2.5|4|40.2|6|0|1|2|2|1|0
3|6|37.9|6|1|1|2|2|1|0
2.5|4|51.6|1|0|0|2|2|1|0
2.5|4|47.6493|6|1|1|2|2|1|0
2.5|4|44.2|6|0|1|2|2|1|0
3.5|6|33.5|6|1|0|2|2|1|0
3.5|6|37.4|6|1|0|2|2|1|0
2.5|4|40.1931|6|0|0|2|2|1|0
2.5|4|41.6642|5|1|0|2|2|1|0
3.7|6|34.8235|6|1|0|2|2|1|0
2.3|4|34.7|6|0|0|2|2|1|0
3.5|6|36.2|7|1|0|2|2|1|0
3.5|6|33.2|7|1|0|2|2|1|0
5.5|8|33|7|1|0|2|2|1|0
5.5|8|32.3|7|1|0|2|2|1|0
6.3|8|27.1158|7|1|0|2|2|1|0
2.4|4|42.2146|4|1|0|2|2|0|1
2.5|4|45.6729|1|1|0|2|2|1|0
3.5|6|37.9499|6|0|0|2|2|1|0
3.5|6|38.0347|1|1|0|2|2|1|0
2.5|4|46.6|1|1|0|2|2|1|0
3.5|6|36.4102|1|1|0|2|2|1|0
2|4|43|6|0|0|2|2|1|0
2|4|47.5129|1|1|0|2|2|1|0
2.5|4|39.6|6|0|0|2|2|1|0
2.5|4|42.6998|1|1|0|2|2|1|0
1.6|4|46.5|4|1|0|2|2|1|0
1.6|4|47.3|5|0|0|2|2|1|0
1.8|4|47.5|1|1|0|2|2|1|0
1.8|4|44.9|4|1|0|2|2|1|0
1.8|4|44.2|6|0|0|2|2|1|0
6.7|12|24.2|6|1|0|2|2|1|0
2.8|6|37.1185|6|0|0|2|2|1|0
2.4|4|46.9|6|1|0|2|2|1|0
2.4|4|46.8|6|1|0|2|2|1|0
3.6|6|35.6|6|1|0|2|2|1|0
2.5|4|37.0574|6|0|0|2|2|0|1
2.5|4|34.6|6|0|0|2|2|1|0
2.5|4|42.9215|1|1|0|2|2|0|1
3.6|6|34.2708|5|1|0|2|2|0|1
2.5|4|46.8|6|0|0|2|2|1|0
2.5|4|45.0566|6|1|0|2|2|1|0
3.5|6|39.8|6|1|0|2|2|1|0
2.4|4|48.2|1|0|0|2|2|1|0
1.8|4|69.6404|1|0|0|2|2|1|0
2|4|42|6|0|0|2|2|1|0
3|6|32|6|1|0|2|2|1|0
4.4|8|30.8|6|1|0|2|2|1|0
3.2|6|36.4|6|1|0|2|2|1|0
4.2|8|31.5002|6|1|0|2|2|1|0
3|6|39.4937|8|1|0|2|2|1|1
4.4|8|30.9537|8|1|0|2|2|1|0
4.4|8|30.562|8|1|0|2|2|1|0
4.4|8|30.1726|6|1|0|2|2|1|0
4.4|8|27.7|6|1|0|2|2|1|0
4.4|8|29.4521|6|1|0|2|2|1|0
4.4|8|27.7|6|1|0|2|2|1|0
6|12|26.7495|8|1|0|2|2|1|0
3.9|6|37.3|4|1|0|1|1|1|0
3.9|6|36.6|4|1|0|1|1|1|0
4.6|8|31.9|4|1|0|2|2|0|0
4.6|8|31.9|4|1|0|2|2|0|0
4.6|8|31.9|4|1|0|2|2|0|0
4.6|8|22.7|4|1|0|2|2|0|0
4.6|8|24.5|4|1|0|2|2|0|0
3.5|6|40.3|4|1|0|1|1|1|0
3.5|6|41.2|4|1|0|1|1|1|0
3.9|6|37.3|4|1|0|1|1|1|0
3.5|6|32.1|5|1|0|2|2|0|0
5.7|8|31.9|5|1|0|1|1|1|0
2.7|6|35.7|4|1|0|2|2|0|0
3.5|6|34.2|4|1|0|2|2|0|0
5.7|8|34.5|5|1|0|1|1|1|0
6.1|8|26|5|1|0|1|1|0|0
2.7|6|35.7|4|1|0|2|2|0|0
3.5|6|34.2|4|1|0|2|2|0|0
5.7|8|34.5|5|1|0|1|1|1|0
6.1|8|26|5|1|0|1|1|0|0
3.5|6|32.1|5|1|0|2|2|0|0
5.7|8|31.9|5|1|0|1|1|1|0
4.6|8|33.3052|4|1|1|1|1|0|0
3.5|6|34.9|6|1|1|2|2|1|0
3.5|6|34.7|6|1|1|2|2|1|0
3.5|6|37.4|6|1|0|2|2|1|0
3.5|6|27.8|6|1|0|2|2|1|0
2.4|4|43.1043|5|0|0|2|2|1|1
2.4|4|43.2916|5|1|0|2|2|1|1
3.5|6|41.2|5|1|0|2|2|1|1
3.3|6|36.2|5|1|0|2|2|1|0
3.8|6|35.6|5|1|0|2|2|1|0
3.8|6|38.3|6|1|0|2|2|1|0
4.6|8|34.2|6|1|0|2|2|1|0
2.4|4|44.4|5|1|0|2|2|1|0
2.4|4|44.8|5|0|0|2|2|1|0
3.3|6|40.1|5|1|0|2|2|1|0
3.5|6|34.1997|7|1|0|2|2|1|0
3.5|6|30.5499|5|1|0|2|2|1|0
4.5|8|29.6|5|1|0|2|2|1|0
4.5|8|27.2|5|1|0|2|2|1|0
5|8|29.7559|6|1|0|2|2|1|0
5|8|32.6701|6|1|0|2|2|1|1
5|8|31.0736|6|1|0|2|2|1|1
4.6|8|33.3052|4|1|1|1|1|0|0
3.5|6|31.5|6|1|1|2|2|1|0
3.5|6|34.7|6|1|1|2|2|1|0
3.5|6|33|6|1|1|2|2|1|0
4.6|8|33.3052|4|1|1|1|1|0|0
4.2|8|24.1837|6|0|0|2|2|1|0
4.7|8|25.5102|6|0|0|2|2|1|0
5.5|12|21.4|5|1|0|2|1|1|0
6|12|21.4|5|1|0|2|1|1|0
6|12|21.7|5|1|0|2|1|1|0
5.5|8|32|7|1|0|2|2|1|0
5.5|8|29.8|7|1|0|2|2|1|0
5.5|12|23.9|5|1|0|2|1|1|0
6.3|8|24.6|7|1|0|2|2|1|0
6|12|23.1|5|1|0|2|1|1|0
3.5|6|35|7|1|0|2|2|1|0
4.8|8|33.2603|7|1|0|2|2|1|1
